Citation,DOI,Publication_Year,Paper_ID,Observation_ID,Cohort,Cohort_ID,Latitude,Longitude,Climate_region,Continent,Country,Ecosystem,Plant_invader,Scientific_name,Invsive_plant_ID,Response_variable,Response_variable_broad_cat,Response_variable_classification,Response_plant,Response_plant_scientific_name,Invader_Growth_form,Response_Plant_Growth_form,Growth_form_simililarity,Invader_Flower_symmetry,Response_plant_Flower_symmetry,Flower_symmetry_similarity,Invader_Flower_colour,Response_plant_Flower_colour,Flower_colour_similarity,Pollinator_Taxonomic_affilaition,Order,Source,Study_design,Comparison,n1i,m1i,sd1i,n2i,m2i,sd2i
"Geerts & Pauw, 2009. Oikos, 118:  573-579",10.1111/j.1600-0706.2008.17167.x,2009,PR01,OBS01,CHT01,CHT01,-29.96361111,17.6375,Non-tropical,Africa,South Africa,Forest,Nicotiana glauca,Nicotiana glauca,SP37,Average number of sunbirds,Abundance,Pollinator,NA,NA,Woody,NA,,,NA,,Yellow,NA,,Aves,Passeriformes,Figure 6,Observational,Invaded vs Uninvaded,8,2.87,1.81019336,10,0.19,0.411096096
"Gooden et al., 2014. Plant Ecology, 215: 567-580",10.1007/s11258-014-0324-0,2014,PR02,OBS02,CHT02,CHT02,-36.0649405,148.7837142,Non-tropical,Australia,Australia,Forest,Stenotaphrum secundatum,Stenotaphrum secundatum,SP61,Proportion of floral units developing into capsules:,Fruit set,Pollination,Juncus kraussii ssp. australiensis,juncus kraussii subsp. australiensis,Non-woody,Non-woody,Dissimilar,Zygomorphic,Actinomorphic,Dissimilar,Green/white_cream/yellow_orange,Reddish-brown,Dissimilar,NA,,Figure 3b,Observational,Invaded vs Uninvaded,25,10.93,12,25,16.73,17.95
"Gooden et al., 2014. Plant Ecology, 215: 567-580",10.1007/s11258-014-0324-0,2014,PR02,OBS03,CHT02,CHT02,-36.0649405,148.7837142,Non-tropical,Australia,Australia,Forest,Stenotaphrum secundatum,Stenotaphrum secundatum,SP61,Infructescence output,Fruit set,Pollination,Baumea juncea,Machaerina juncea,Non-woody,Non-woody,Dissimilar,Zygomorphic,Actinomorphic,Dissimilar,Green/white_cream/yellow_orange,Reddish-brown,Dissimilar,NA,,Figure 2b,Observational,Invaded vs Uninvaded,18,20.23,9.75807358,18,134.1,171.6996686
"Gooden et al., 2014. Plant Ecology, 215: 567-580",10.1007/s11258-014-0324-0,2014,PR02,OBS04,CHT02,CHT02,-36.0649405,148.7837142,Non-tropical,Australia,Australia,Forest,Stenotaphrum secundatum,Stenotaphrum secundatum,SP61,Fruit output,Fruit set,Pollination,Tetragonia tetragonioides,Tetragonia tetragonoides,Non-woody,Non-woody,Dissimilar,Zygomorphic,Actinomorphic,Dissimilar,Green/white_cream/yellow_orange,Yellow,Similar,NA,,Figure 1b,Observational,Invaded vs Uninvaded,15,71.79,99.96170017,15,259.13,238.9630725
"Gooden et al., 2014. Plant Ecology, 215: 567-580",10.1007/s11258-014-0324-0,2014,PR02,OBS05,CHT02,CHT02,-36.0649405,148.7837142,Non-tropical,Australia,Australia,Forest,Stenotaphrum secundatum,Stenotaphrum secundatum,SP61,Proportion of floral units developing into seed,Seed set,Pollination,Baumea juncea,Machaerina juncea,Non-woody,Non-woody,Dissimilar,Zygomorphic,Zygomorphic,Similar,Green/white_cream/yellow_orange,Reddish-brown,Dissimilar,NA,,Figure 2g,Observational,Invaded vs Uninvaded,18,0.17,0.254558441,18,0.27,0.212132034
"Gooden et al., 2014. Plant Ecology, 215: 567-580",10.1007/s11258-014-0324-0,2014,PR02,OBS06,CHT02,CHT02,-36.0649405,148.7837142,Non-tropical,Australia,Australia,Forest,Stenotaphrum secundatum,Stenotaphrum secundatum,SP61,Mean number of seeds fruit-1,Seed set,Pollination,Tetragonia tetragonioides,Tetragonia tetragonoides,Non-woody,Non-woody,Dissimilar,Zygomorphic,Actinomorphic,Dissimilar,Green/white_cream/yellow_orange,Yellow,Similar,NA,,Figure 1d,Observational,Invaded vs Uninvaded,15,5.57,0.735866836,15,5.44,0.89078617
"Molano-Flores, 2014. Natural Areas Journal, 34(4): 465-469",10.3375/043.034.0408,2014,PR03,OBS07,CHT03,CHT03,42.2568291,-90.3767048,Non-tropical,North America,USA,Grassland,Securigera varia,Coronilla varia,SP17,Fruit set (%),Fruit set,Pollination,Tradescantia ohiensis,Machaerina juncea,Non-woody,Non-woody,Similar,Zygomorphic,Zygomorphic,Similar,blue_purple pink white_cream,Reddish-brown,Dissimilar,NA,,Figure 1,Observational,Invaded vs Uninvaded,50,10.8,14.49568901,50,44.57,13.29360749
"Molano-Flores, 2014. Natural Areas Journal, 34(4): 465-469",10.3375/043.034.0408,2014,PR03,OBS08,CHT03,CHT03,42.2568291,-90.3767048,Non-tropical,North America,USA,Grassland,Securigera varia,Coronilla varia,SP17,seed set (%),Seed set,Pollination,Tradescantia ohiensis,Tetragonia tetragonoides,Non-woody,Non-woody,Similar,Zygomorphic,Actinomorphic,Dissimilar,blue_purple pink white_cream,Yellow,Dissimilar,NA,,Figure 1,Observational,Invaded vs Uninvaded,50,35.71,18.03122292,50,71.14,20.22325394
"Vanderplanck et al., 2019. Ecosphere, 10: e02804",10.1002/ecs2.2804,2019,PR04,OBS09,CHT04,CHT04,50.4457337,3.8872609,Non-tropical,Europe,Belgium,Riparain,Impatiens glandulifera,Impatiens glandulifera,SP26,Total number of recorded visitors ,Abundance,Pollinator,NA,NA,Non-woody,NA,,Zygomorphic,,,Purple,,Dissimilar,Insecta,Mixed,Table S2 (Recalculated),Observational,Invaded vs Uninvaded,5,29.8,14.02,5,30.6,6.77
"Bartomeus et al., 2010. Journal of Ecology, 98: 440-450",10.1111/j.1365-2745.2009.01629.x,2010,PR05,OBS10,CHT05,CHT05,52.5863032,7.7971439,Non-tropical,Europe,Germany,Cropland,Impatiens glandulifera,Impatiens glandulifera,SP26,Pollinator Richness,Richness,Pollinator,NA,NA,Non-woody,NA,,Zygomorphic,NA,,Purple,NA,,Insecta,Hymnoptera,Figure 2,Observational,Invaded vs Uninvaded,14,2.91,8.007146808,14,1.68,4.976404324
